Bank_Quarter,Credit_Score,Country,Gender,Age,Tenure_Years,Account_Balance,Number_Of_Products,Has_Credit_Card,Active_Status,Estimated_Salary_EUR,Churn_Status
1,527,Spain,Male,33,4,132168.28,1,non credit card holder,Inactive Member,98734.15,Retain
2,553,Germany,Male,43,5,85200.82,2,credit card holder,Active Member,160574.09,Retain
3,575,Spain,Male,53,7,84903.33,2,non credit card holder,Active Member,26015.8,Retain
4,626,France,Female,32,5,0.0,2,non credit card holder,Inactive Member,187172.54,Retain
1,582,France,Male,20,5,0.0,1,credit card holder,Active Member,55763.66,Retain
3,683,Spain,Male,40,5,0.0,1,credit card holder,Inactive Member,75848.22,Retain
4,850,France,Male,30,3,121535.18,1,non credit card holder,Inactive Member,40313.47,Retain
4,653,Spain,Male,35,6,116662.96,2,credit card holder,Active Member,23864.21,Retain
2,679,France,Male,60,6,0.0,2,credit card holder,Active Member,51380.9,Retain
2,549,Germany,Female,49,6,124829.16,1,non credit card holder,Active Member,93551.36,Retain
2,850,Spain,Female,36,5,155180.56,2,non credit card holder,Inactive Member,169415.54,Retain
2,558,Germany,Female,32,5,108262.87,1,credit card holder,Active Member,6935.31,Retain
2,528,Spain,Male,40,6,0.0,2,credit card holder,Inactive Member,25399.7,Retain
3,801,France,Male,38,7,0.0,2,credit card holder,Inactive Member,66256.27,Retain
2,513,Spain,Male,48,4,0.0,1,credit card holder,Active Member,114709.13,Exit
4,666,Germany,Male,38,3,99812.88,2,credit card holder,Active Member,158357.97,Retain
4,606,France,Male,35,6,132164.26,1,non credit card holder,Active Member,164815.59,Retain
2,599,Germany,Male,45,6,103583.05,1,credit card holder,Inactive Member,132127.69,Exit
4,544,Germany,Male,39,4,142406.43,2,credit card holder,Inactive Member,146637.45,Retain
3,529,Spain,Male,38,7,99842.5,2,credit card holder,Inactive Member,90256.06,Exit
2,850,France,Female,41,7,0.0,2,credit card holder,Active Member,34827.43,Retain
1,497,France,Male,41,6,0.0,1,non credit card holder,Inactive Member,22074.48,Retain
4,764,France,Female,39,4,81042.42,1,non credit card holder,Active Member,109805.17,Retain
4,603,France,Female,48,4,0.0,1,credit card holder,Inactive Member,100478.6,Exit
2,609,France,Male,40,4,0.0,2,credit card holder,Active Member,97416.34,Retain
4,487,France,Male,53,3,199689.49,1,credit card holder,Active Member,24207.86,Exit
1,748,France,Male,33,4,142645.43,1,non credit card holder,Inactive Member,69132.66,Retain
2,710,Spain,Female,75,5,0.0,2,credit card holder,Active Member,9376.89,Retain
4,432,Germany,Female,45,5,110219.14,1,credit card holder,Inactive Member,43046.7,Exit
3,534,Spain,Male,51,7,0.0,2,non credit card holder,Active Member,20856.31,Retain
1,607,France,Male,25,5,0.0,2,non credit card holder,Inactive Member,187048.72,Retain
1,551,Spain,Male,32,4,0.0,2,credit card holder,Inactive Member,53420.53,Retain
2,674,France,Male,45,7,142072.02,1,credit card holder,Inactive Member,37013.29,Retain
3,525,France,Female,25,7,0.0,2,credit card holder,Inactive Member,89566.64,Retain
3,645,Germany,Male,33,6,149564.61,1,non credit card holder,Inactive Member,149913.84,Retain
1,755,France,Female,43,4,0.0,2,credit card holder,Inactive Member,18066.69,Retain
1,708,Germany,Male,37,7,153366.13,1,credit card holder,Active Member,26912.34,Retain
3,715,France,Male,21,6,76467.16,1,credit card holder,Active Member,173511.72,Retain
3,727,France,Female,26,6,121508.28,1,credit card holder,Active Member,146785.44,Retain
2,559,Spain,Female,27,7,0.0,1,non credit card holder,Active Member,1050.33,Retain
3,545,Spain,Male,36,4,73211.12,2,credit card holder,Inactive Member,89587.34,Exit
4,524,France,Male,22,3,0.0,2,credit card holder,Inactive Member,74405.34,Retain
4,707,France,Female,55,4,0.0,2,non credit card holder,Active Member,54409.48,Retain
3,671,Spain,Male,38,6,92674.94,2,credit card holder,Inactive Member,3647.57,Retain
4,439,Spain,Male,52,6,96196.24,4,credit card holder,Inactive Member,198874.52,Exit
1,667,Germany,Female,36,4,114391.62,1,credit card holder,Active Member,53412.54,Retain
1,831,Germany,Male,32,4,80262.66,1,credit card holder,Inactive Member,194867.78,Retain
3,545,Spain,Female,33,6,173331.52,1,credit card holder,Inactive Member,150452.88,Retain
3,604,Spain,Female,35,4,147285.52,1,credit card holder,Active Member,57807.05,Retain
4,657,Spain,Male,67,3,119785.47,2,credit card holder,Active Member,107534.32,Retain
1,487,Spain,Female,36,4,140137.15,1,credit card holder,Inactive Member,194073.33,Retain
2,750,Germany,Female,52,7,107467.56,1,credit card holder,Inactive Member,126233.18,Exit
3,694,Germany,Female,37,4,98218.04,2,credit card holder,Inactive Member,182354.46,Exit
4,711,Germany,Female,35,6,133607.75,1,credit card holder,Active Member,120586.32,Retain
3,551,France,Male,37,4,0.0,2,credit card holder,Active Member,50578.4,Retain
1,559,France,Female,38,5,95139.41,1,credit card holder,Active Member,86575.46,Retain
4,620,France,Female,29,3,0.0,2,non credit card holder,Active Member,153392.28,Retain
4,660,Spain,Male,42,3,0.0,2,credit card holder,Inactive Member,115509.59,Retain
2,449,France,Female,37,6,0.0,2,credit card holder,Inactive Member,82176.48,Retain
4,703,Germany,Female,26,6,97331.19,1,credit card holder,Inactive Member,63717.49,Retain
4,795,Germany,Male,37,3,139265.63,2,credit card holder,Active Member,198745.94,Retain
4,594,France,Female,31,3,0.0,1,non credit card holder,Active Member,5719.11,Retain
1,586,Spain,Male,34,5,168094.01,1,non credit card holder,Inactive Member,20058.61,Retain
3,613,Germany,Female,30,6,131563.88,2,credit card holder,Inactive Member,170638.98,Retain
2,601,France,Male,44,5,0.0,2,credit card holder,Inactive Member,30607.11,Retain
2,657,France,Male,50,6,0.0,2,non credit card holder,Inactive Member,37171.46,Retain
3,531,France,Male,31,7,0.0,1,credit card holder,Active Member,42589.33,Retain
4,621,Germany,Male,47,3,107363.29,1,credit card holder,Active Member,66799.28,Retain
4,782,France,Female,33,4,94493.03,1,non credit card holder,Active Member,101866.39,Retain
3,528,Germany,Female,29,5,170214.23,2,credit card holder,Inactive Member,49284.0,Retain
4,696,France,Male,52,5,139781.06,1,credit card holder,Inactive Member,27445.4,Exit
3,586,France,Female,35,7,0.0,2,credit card holder,Inactive Member,70760.69,Retain
2,626,Spain,Female,26,7,148610.41,3,non credit card holder,Active Member,104502.02,Exit
4,498,France,Male,73,3,170241.7,2,credit card holder,Active Member,165407.96,Retain
4,691,France,Female,33,5,128306.83,1,credit card holder,Active Member,113580.79,Retain
4,568,France,Female,47,3,0.0,2,credit card holder,Active Member,45978.39,Retain
1,715,France,Female,35,4,0.0,1,credit card holder,Active Member,152012.36,Retain
3,680,Germany,Male,32,7,175454.0,1,non credit card holder,Active Member,77349.92,Retain
4,802,Spain,Male,41,6,0.0,2,credit card holder,Inactive Member,47322.05,Retain
1,539,France,Female,22,5,100885.93,2,credit card holder,Active Member,38772.65,Retain
3,494,France,Male,69,4,93320.8,1,credit card holder,Active Member,24489.44,Retain
4,594,Germany,Male,38,3,63176.44,2,credit card holder,Active Member,14466.08,Retain
4,596,France,Male,33,3,139451.67,1,non credit card holder,Inactive Member,63142.12,Retain
2,649,France,Female,52,6,49113.75,1,credit card holder,Inactive Member,41858.43,Retain
4,699,Germany,Male,32,5,123906.22,3,credit card holder,Active Member,127443.82,Exit
4,787,France,Female,40,3,0.0,2,credit card holder,Active Member,84151.98,Retain
2,604,France,Male,28,6,0.0,2,non credit card holder,Inactive Member,58595.64,Retain
1,489,Germany,Female,52,5,131441.51,1,credit card holder,Inactive Member,37240.11,Exit
3,651,France,Male,56,5,0.0,1,credit card holder,Inactive Member,114522.68,Exit
4,698,France,Male,57,4,136325.48,2,credit card holder,Active Member,72549.27,Exit
4,578,Germany,Female,38,4,113150.44,2,credit card holder,Inactive Member,176712.59,Exit
3,538,Spain,Female,42,5,0.0,1,non credit card holder,Inactive Member,152855.96,Retain
4,696,France,Female,33,4,0.0,2,credit card holder,Active Member,73371.65,Retain
1,507,Germany,Female,46,4,102785.16,1,credit card holder,Active Member,70323.68,Retain
4,685,Spain,Male,34,6,83264.28,1,non credit card holder,Inactive Member,9663.28,Retain
3,705,Germany,Male,41,4,72252.64,2,credit card holder,Active Member,142514.66,Retain
4,499,Germany,Female,29,3,148051.52,1,credit card holder,Inactive Member,118623.94,Retain
3,717,France,Female,76,7,138489.66,1,credit card holder,Active Member,68400.14,Retain
1,510,France,Male,63,4,0.0,2,credit card holder,Active Member,115291.86,Retain
2,632,France,Male,32,4,111589.33,1,credit card holder,Active Member,170382.99,Retain
4,668,Germany,Female,39,3,122104.79,1,credit card holder,Inactive Member,112946.67,Exit
4,744,Germany,Male,32,5,96106.83,1,credit card holder,Active Member,79812.77,Retain
4,663,Germany,Male,42,3,115930.87,1,credit card holder,Inactive Member,19862.78,Retain
3,638,Germany,Female,37,6,124513.66,2,credit card holder,Inactive Member,158610.89,Retain
2,688,France,Female,54,4,0.0,1,credit card holder,Inactive Member,191212.63,Exit
3,588,Spain,Male,46,4,0.0,1,credit card holder,Inactive Member,61931.21,Retain
3,631,France,Male,33,4,0.0,1,credit card holder,Active Member,58043.02,Exit
4,687,Spain,Male,35,3,100988.39,2,credit card holder,Inactive Member,22247.27,Retain
3,599,France,Male,44,5,118577.24,1,credit card holder,Active Member,31448.52,Retain
3,718,Spain,Male,28,4,0.0,2,credit card holder,Inactive Member,146875.86,Retain
3,730,France,Male,27,4,0.0,2,credit card holder,Active Member,116081.93,Retain
1,533,France,Female,39,6,0.0,1,non credit card holder,Active Member,73669.94,Exit
2,711,Spain,Female,28,6,0.0,2,credit card holder,Active Member,93959.96,Retain
3,555,Spain,Female,26,7,0.0,2,non credit card holder,Active Member,158918.03,Retain
3,850,France,Female,42,5,113311.11,1,credit card holder,Active Member,198193.75,Retain
2,678,France,Female,41,4,0.0,1,non credit card holder,Inactive Member,13160.03,Retain
3,576,France,Male,32,7,0.0,2,credit card holder,Inactive Member,4660.91,Retain
2,835,Germany,Male,20,7,124365.42,1,non credit card holder,Inactive Member,180197.74,Exit
2,592,France,Male,42,5,147249.29,2,credit card holder,Active Member,63023.02,Retain
2,774,France,Male,36,5,103688.19,1,non credit card holder,Active Member,118971.74,Retain
4,620,France,Female,29,5,138740.24,2,non credit card holder,Inactive Member,154700.61,Retain
1,519,Spain,Male,39,7,111900.14,1,credit card holder,Active Member,97577.17,Retain
1,734,Spain,Female,37,6,152760.24,1,credit card holder,Active Member,48990.5,Retain
2,763,Germany,Male,31,5,143966.3,2,credit card holder,Active Member,140262.96,Exit
3,733,France,Male,51,4,141556.96,1,credit card holder,Inactive Member,130189.53,Retain
3,650,France,Female,43,4,0.0,2,credit card holder,Active Member,16301.91,Retain
4,538,France,Female,33,3,0.0,2,credit card holder,Inactive Member,126962.41,Retain
3,577,France,Female,46,4,0.0,1,credit card holder,Active Member,158750.53,Retain
3,792,France,Male,30,5,0.0,2,credit card holder,Inactive Member,199644.2,Retain
1,686,France,Female,41,5,0.0,1,credit card holder,Active Member,144272.71,Exit
3,589,France,Male,29,3,0.0,2,non credit card holder,Active Member,98320.27,Retain
4,530,France,Male,25,3,162560.32,1,credit card holder,Inactive Member,64129.03,Retain
1,778,Germany,Female,29,4,123229.46,1,credit card holder,Inactive Member,181221.09,Retain
3,616,Spain,Male,31,6,76665.71,2,credit card holder,Active Member,163809.08,Retain
2,550,France,Male,38,6,140278.99,3,credit card holder,Active Member,171457.06,Exit
1,655,France,Female,51,5,0.0,2,non credit card holder,Active Member,15801.02,Retain
4,721,France,Male,46,4,115764.32,2,non credit card holder,Inactive Member,102950.79,Retain
4,499,Germany,Male,36,3,131142.53,2,credit card holder,Inactive Member,174918.46,Retain
4,511,France,Male,45,5,68375.27,1,credit card holder,Inactive Member,193160.25,Exit
4,579,Germany,Female,39,5,117833.3,3,non credit card holder,Inactive Member,5831.0,Exit
1,696,Spain,Female,36,5,0.0,2,credit card holder,Active Member,82298.59,Retain
3,681,France,Male,34,5,0.0,2,non credit card holder,Inactive Member,130686.59,Retain
1,815,France,Male,45,4,0.0,1,non credit card holder,Active Member,52885.23,Exit
2,681,Spain,Male,30,7,111093.01,1,credit card holder,Inactive Member,68985.99,Retain
2,641,Spain,Male,42,7,132657.55,1,credit card holder,Inactive Member,35367.19,Retain
3,591,France,Female,56,7,128882.49,1,credit card holder,Active Member,196241.94,Exit
3,565,Germany,Male,59,5,69129.59,1,credit card holder,Active Member,170705.53,Retain
1,487,France,Male,37,5,0.0,2,credit card holder,Active Member,126477.41,Retain
4,729,France,Male,39,3,121404.64,1,credit card holder,Active Member,159618.17,Retain
4,505,Spain,Female,45,5,131355.3,3,credit card holder,Inactive Member,195395.33,Exit
1,580,France,Female,35,5,102097.33,1,non credit card holder,Active Member,168285.85,Retain
3,642,France,Male,40,4,154863.15,1,credit card holder,Active Member,138052.51,Retain
3,850,Spain,Female,41,4,99945.93,2,credit card holder,Inactive Member,71179.31,Retain
2,616,Germany,Male,39,5,121704.32,2,credit card holder,Inactive Member,55556.3,Retain
3,526,Spain,Female,43,4,0.0,2,credit card holder,Inactive Member,31705.19,Retain
3,523,Germany,Male,35,6,138782.76,1,credit card holder,Active Member,186118.93,Retain
1,663,France,Male,35,4,0.0,2,credit card holder,Active Member,195580.28,Retain
4,840,France,Male,30,3,136291.71,1,credit card holder,Inactive Member,54113.38,Retain
1,570,Germany,Male,42,4,107856.57,2,credit card holder,Inactive Member,127528.84,Retain
3,676,Germany,Female,26,4,108348.66,1,non credit card holder,Inactive Member,60231.74,Exit
3,689,France,Male,47,5,93871.95,3,credit card holder,Inactive Member,156878.42,Exit
2,703,Spain,Female,45,4,0.0,1,credit card holder,Inactive Member,182784.11,Exit
1,491,Germany,Male,19,5,125860.2,1,non credit card holder,Inactive Member,129690.5,Retain
4,584,France,Male,49,5,172713.44,1,credit card holder,Inactive Member,113860.81,Retain
3,810,France,Female,51,7,0.0,2,non credit card holder,Active Member,184524.74,Retain
4,745,Spain,Female,59,3,0.0,1,credit card holder,Active Member,36124.98,Retain
3,625,France,Female,39,7,130786.92,1,non credit card holder,Active Member,121316.07,Retain
4,535,France,Female,29,3,112367.34,1,credit card holder,Inactive Member,185630.76,Retain
2,729,Spain,Female,45,6,91091.06,2,credit card holder,Inactive Member,71133.12,Retain
4,655,France,Female,26,5,106198.5,1,non credit card holder,Active Member,32020.42,Retain
3,751,France,Male,47,4,142669.93,2,credit card holder,Inactive Member,162760.96,Retain
2,525,France,Male,33,5,112833.35,1,non credit card holder,Active Member,175178.56,Retain
2,532,France,Female,40,4,0.0,2,non credit card holder,Active Member,177099.71,Retain
2,696,Spain,Female,43,5,0.0,2,credit card holder,Active Member,66406.37,Retain
4,786,Germany,Female,32,3,104336.43,2,non credit card holder,Inactive Member,59559.81,Retain
2,580,France,Male,55,7,104305.74,1,non credit card holder,Active Member,175750.21,Retain
4,596,Germany,Male,47,4,140187.1,2,credit card holder,Active Member,174311.3,Retain
1,683,France,Male,39,5,0.0,2,credit card holder,Inactive Member,171716.81,Retain
4,747,France,Female,45,5,114959.12,1,credit card holder,Inactive Member,189362.39,Exit
2,602,France,Male,33,6,164704.38,1,non credit card holder,Active Member,180716.1,Exit
4,779,France,Male,62,3,119096.55,1,non credit card holder,Active Member,116977.89,Retain
4,551,France,Male,31,4,0.0,2,credit card holder,Active Member,185105.44,Retain
2,666,France,Male,47,4,0.0,1,credit card holder,Inactive Member,35046.97,Exit
1,526,Spain,Male,30,5,0.0,1,credit card holder,Inactive Member,36251.0,Retain
1,849,France,Female,41,4,115465.28,1,credit card holder,Inactive Member,103174.5,Retain
3,471,France,Female,27,5,0.0,2,credit card holder,Inactive Member,122642.09,Retain
4,628,Spain,Male,43,6,184926.61,1,credit card holder,Inactive Member,122937.57,Retain
4,674,Germany,Male,43,3,85957.88,2,credit card holder,Inactive Member,8757.39,Retain
3,797,France,Male,32,6,114084.6,1,non credit card holder,Active Member,125782.29,Retain
3,590,Spain,Female,29,4,166930.76,2,credit card holder,Inactive Member,122487.73,Retain
4,588,France,Female,27,4,0.0,1,credit card holder,Inactive Member,20066.38,Retain
3,577,France,Male,29,6,0.0,2,credit card holder,Active Member,55473.15,Retain
3,571,France,Female,38,7,107193.82,2,non credit card holder,Inactive Member,38962.94,Retain
4,680,France,Male,36,6,116275.12,1,credit card holder,Active Member,63795.8,Retain
4,648,Spain,Female,27,4,0.0,2,credit card holder,Active Member,163060.43,Retain
4,618,France,Male,39,3,91068.56,1,credit card holder,Inactive Member,26578.69,Retain
1,648,Germany,Male,41,6,123049.21,1,non credit card holder,Active Member,5066.76,Retain
1,759,France,Female,39,7,0.0,2,credit card holder,Active Member,140497.67,Retain
2,585,France,Male,40,4,0.0,2,non credit card holder,Inactive Member,146156.98,Retain
2,774,France,Female,42,4,137781.65,1,non credit card holder,Inactive Member,199316.19,Retain
4,697,Germany,Female,48,6,108128.96,2,credit card holder,Active Member,103944.37,Retain
1,605,Spain,Male,39,7,105317.73,2,credit card holder,Inactive Member,138021.36,Retain
4,676,France,Male,20,3,80569.73,1,non credit card holder,Inactive Member,68621.98,Retain
2,678,France,Female,22,7,174852.89,1,credit card holder,Active Member,28149.06,Retain
4,495,Spain,Female,45,5,89158.94,3,credit card holder,Inactive Member,135169.76,Exit
4,787,France,Female,85,5,0.0,2,credit card holder,Active Member,116537.96,Retain
1,770,France,Male,36,5,89800.14,1,credit card holder,Active Member,105922.69,Retain
3,817,Germany,Male,45,5,101207.75,1,non credit card holder,Inactive Member,88211.12,Exit
1,659,France,Male,43,4,106086.42,2,credit card holder,Inactive Member,26900.63,Retain
2,693,France,Male,21,7,0.0,2,credit card holder,Active Member,3494.02,Retain
1,744,France,Male,47,4,0.0,2,credit card holder,Inactive Member,113163.17,Retain
4,829,Spain,Female,26,3,101440.36,2,credit card holder,Active Member,19324.5,Retain
1,716,France,Male,38,5,0.0,2,credit card holder,Inactive Member,189678.7,Retain
4,671,France,Male,34,4,106603.74,2,credit card holder,Active Member,26387.71,Retain
3,835,Germany,Female,29,5,130420.2,2,non credit card holder,Inactive Member,106276.55,Retain
4,636,France,Female,38,6,0.0,1,credit card holder,Inactive Member,45015.38,Retain
1,649,Spain,Male,29,4,45022.23,1,credit card holder,Active Member,173495.77,Retain
2,621,Germany,Male,27,6,74298.43,1,credit card holder,Active Member,52581.96,Retain
3,658,Germany,Female,31,6,133003.03,1,non credit card holder,Active Member,146339.27,Exit
2,784,Spain,Male,48,4,0.0,2,credit card holder,Active Member,182609.97,Retain
3,783,Spain,Female,37,4,136689.66,1,credit card holder,Inactive Member,197890.65,Retain
1,615,France,Male,32,5,0.0,2,credit card holder,Active Member,6225.63,Retain
4,791,France,Female,44,4,0.0,2,credit card holder,Active Member,123977.86,Exit
4,762,France,Male,53,3,102520.37,1,credit card holder,Active Member,170195.4,Retain
3,607,France,Male,35,6,0.0,2,credit card holder,Active Member,114190.3,Retain
4,601,France,Female,34,5,0.0,2,credit card holder,Inactive Member,27022.57,Retain
4,540,Spain,Male,67,5,88382.01,1,non credit card holder,Active Member,59457.0,Retain
2,812,France,Male,44,4,115049.15,2,credit card holder,Inactive Member,165038.41,Retain
3,685,France,Male,58,7,104796.54,1,credit card holder,Active Member,154181.41,Retain
4,680,France,Male,33,5,123082.08,1,credit card holder,Inactive Member,134960.98,Retain
4,680,Spain,Female,58,6,0.0,2,credit card holder,Active Member,65708.5,Retain
1,631,France,Female,33,5,0.0,2,non credit card holder,Inactive Member,117374.22,Retain
4,569,France,Female,43,3,0.0,2,credit card holder,Active Member,77703.19,Retain
3,584,Germany,Male,33,7,88311.48,2,credit card holder,Active Member,177651.38,Retain
4,582,France,Female,40,4,0.0,3,credit card holder,Active Member,60954.45,Retain
2,609,France,Male,32,6,71872.19,1,credit card holder,Active Member,151924.9,Retain
4,506,Spain,Male,35,5,110046.93,2,credit card holder,Inactive Member,26318.73,Retain
4,503,France,Male,42,6,104430.08,1,credit card holder,Active Member,147557.71,Retain
4,503,France,Female,28,6,0.0,2,credit card holder,Inactive Member,125918.17,Retain
3,806,Germany,Male,31,5,138653.51,1,credit card holder,Inactive Member,190803.37,Retain
1,653,France,Female,31,7,102575.04,1,credit card holder,Active Member,11043.54,Retain
3,666,France,Male,43,5,137780.74,2,credit card holder,Active Member,119100.05,Exit
4,674,Spain,Male,32,4,0.0,2,credit card holder,Inactive Member,140579.17,Retain
4,798,France,Male,32,3,0.0,2,non credit card holder,Active Member,37731.95,Retain
3,740,France,Female,30,4,105209.54,1,credit card holder,Inactive Member,1852.58,Retain
3,531,Germany,Female,32,6,109570.21,2,credit card holder,Active Member,172049.84,Retain
4,614,Germany,Female,44,3,118715.86,1,credit card holder,Inactive Member,133591.11,Exit
2,556,France,Male,35,5,0.0,2,credit card holder,Active Member,192751.18,Retain
1,678,Germany,Female,43,6,153393.18,2,credit card holder,Active Member,193828.27,Retain
4,587,Germany,Male,33,5,132603.36,1,credit card holder,Inactive Member,55775.72,Retain
2,527,Spain,Female,36,7,0.0,2,credit card holder,Active Member,102280.29,Retain
3,757,Germany,Female,34,7,129398.01,2,non credit card holder,Inactive Member,44965.44,Retain
1,468,Spain,Male,28,6,0.0,2,credit card holder,Inactive Member,170661.02,Retain
2,693,France,Male,29,5,151352.74,1,non credit card holder,Inactive Member,197145.89,Retain
4,483,France,Female,44,4,136836.49,1,credit card holder,Inactive Member,192359.9,Exit
1,466,France,Male,40,7,91592.06,1,credit card holder,Inactive Member,141210.18,Exit
4,770,France,Female,30,6,0.0,2,credit card holder,Inactive Member,100557.03,Retain
4,734,France,Female,54,5,0.0,1,credit card holder,Inactive Member,130805.54,Exit
3,716,France,Female,22,5,0.0,2,credit card holder,Active Member,92606.98,Retain
2,439,France,Male,36,4,165536.28,2,credit card holder,Active Member,123956.83,Retain
3,538,Germany,Male,25,3,62482.95,1,credit card holder,Active Member,102758.43,Retain
4,743,France,Male,40,3,68155.59,1,credit card holder,Inactive Member,94876.65,Retain
4,734,Spain,Female,43,6,55853.33,2,non credit card holder,Active Member,94811.85,Exit
3,656,France,Male,37,4,0.0,2,non credit card holder,Active Member,67840.81,Retain
2,666,France,Female,31,7,79589.43,1,non credit card holder,Inactive Member,4050.57,Retain
2,627,Spain,Male,41,7,100880.76,1,non credit card holder,Active Member,134665.25,Retain
1,480,Germany,Female,25,5,174330.35,2,non credit card holder,Inactive Member,181647.13,Retain
2,792,France,Male,19,7,143390.51,1,credit card holder,Inactive Member,33282.84,Retain
3,613,Germany,Male,59,7,91415.76,1,non credit card holder,Inactive Member,27965.0,Exit
4,476,Germany,Male,30,6,134366.42,1,credit card holder,Inactive Member,68343.53,Retain
3,539,France,Female,24,6,0.0,2,credit card holder,Active Member,198161.07,Retain
3,696,Spain,Male,60,4,88786.81,1,credit card holder,Active Member,196858.4,Retain
4,810,Germany,Male,35,3,96814.46,2,credit card holder,Active Member,120511.03,Retain
4,763,Germany,Male,32,5,160680.41,1,credit card holder,Inactive Member,30886.35,Retain
4,640,France,Female,29,4,0.0,2,credit card holder,Inactive Member,2743.69,Retain
4,655,France,Female,47,3,0.0,2,credit card holder,Inactive Member,167778.62,Retain
3,526,Germany,Male,31,4,145537.21,1,credit card holder,Inactive Member,132404.64,Retain
2,678,France,Female,28,4,0.0,2,credit card holder,Active Member,144423.17,Exit
3,554,France,Female,45,4,0.0,2,credit card holder,Active Member,181204.5,Retain
1,597,Spain,Female,30,4,119370.11,1,credit card holder,Active Member,182726.22,Exit
3,560,Spain,Female,28,6,0.0,2,credit card holder,Active Member,120880.72,Retain
3,850,Germany,Female,47,4,134381.52,1,non credit card holder,Inactive Member,26812.89,Exit
4,546,Germany,Female,74,3,114888.74,2,credit card holder,Active Member,66732.63,Exit
4,623,Germany,Male,42,3,149332.48,2,credit card holder,Inactive Member,100834.22,Retain
3,698,France,Female,40,4,105061.74,3,credit card holder,Inactive Member,107815.31,Exit
3,620,France,Male,32,5,0.0,2,credit card holder,Active Member,34665.79,Retain
2,619,France,Female,40,4,0.0,1,credit card holder,Active Member,147093.84,Exit
4,561,France,Male,21,6,0.0,1,credit card holder,Active Member,36942.35,Retain
3,753,France,Female,39,5,155062.8,1,credit card holder,Active Member,16460.77,Retain
1,721,Spain,Male,43,5,88798.34,1,non credit card holder,Inactive Member,45610.63,Retain
3,451,France,Male,33,4,0.0,2,credit card holder,Inactive Member,184954.11,Retain
4,680,Germany,Female,51,3,143139.87,1,non credit card holder,Inactive Member,47795.43,Exit
1,590,Spain,Female,23,7,0.0,2,credit card holder,Inactive Member,196789.9,Retain
4,634,Germany,Male,27,6,107027.52,1,credit card holder,Inactive Member,173425.68,Retain
1,676,France,Male,29,6,140720.93,1,credit card holder,Inactive Member,36221.18,Retain
4,642,France,Male,30,5,80964.57,2,credit card holder,Inactive Member,174738.2,Retain
4,760,France,Male,39,5,178585.46,1,credit card holder,Inactive Member,67131.3,Exit
2,736,Spain,Female,26,5,135889.13,1,credit card holder,Active Member,165692.03,Retain
3,656,France,Male,43,5,134919.85,1,credit card holder,Inactive Member,194691.95,Retain
3,776,Germany,Male,33,5,115130.34,1,non credit card holder,Inactive Member,129525.5,Exit
4,832,Spain,Female,34,5,138190.13,2,non credit card holder,Active Member,146511.2,Retain
4,631,Germany,Male,37,3,131519.49,2,credit card holder,Active Member,51752.18,Retain
4,795,Spain,Female,56,6,0.0,1,credit card holder,Inactive Member,35418.69,Exit
1,648,Germany,Female,39,5,126935.98,2,non credit card holder,Active Member,57995.74,Retain
4,615,France,Male,39,4,133707.09,1,credit card holder,Active Member,108152.75,Retain
2,682,France,Female,27,4,97893.2,1,credit card holder,Inactive Member,166144.98,Retain
2,694,France,Male,34,4,127900.03,1,credit card holder,Inactive Member,101737.8,Retain
4,694,France,Male,37,5,143835.47,1,non credit card holder,Active Member,33326.71,Retain
3,607,France,Male,44,5,0.0,2,credit card holder,Active Member,81140.09,Retain
4,664,France,Male,48,6,0.0,1,credit card holder,Inactive Member,140173.17,Exit
1,756,France,Male,60,5,0.0,1,credit card holder,Active Member,166513.49,Exit
4,645,France,Female,40,5,129596.77,1,credit card holder,Active Member,103232.6,Retain
3,653,Spain,Male,30,4,0.0,2,credit card holder,Inactive Member,120736.04,Retain
4,710,Germany,Female,24,3,110407.44,2,non credit card holder,Inactive Member,15832.43,Exit
4,697,France,Female,76,5,0.0,2,non credit card holder,Active Member,188772.45,Retain
3,619,Germany,Female,41,5,142015.76,2,credit card holder,Inactive Member,114323.66,Retain
4,648,Spain,Male,55,3,81370.07,1,non credit card holder,Active Member,181534.04,Retain
3,482,Germany,Female,48,4,69329.47,1,non credit card holder,Inactive Member,102640.52,Exit
4,548,France,Female,28,6,116755.5,2,credit card holder,Active Member,158585.17,Exit
1,752,Spain,Male,44,5,83870.33,1,credit card holder,Inactive Member,178722.24,Retain
3,648,France,Female,39,7,130694.89,2,credit card holder,Active Member,153955.38,Exit
1,643,Spain,Female,34,7,117451.47,1,credit card holder,Inactive Member,65374.86,Retain
3,573,Germany,Female,35,6,206868.78,2,non credit card holder,Active Member,102986.15,Retain
4,686,France,Female,39,6,111695.62,1,non credit card holder,Inactive Member,136643.84,Retain
4,644,France,Female,40,6,137285.26,4,credit card holder,Inactive Member,77063.63,Exit
3,702,France,Female,29,6,149218.39,1,credit card holder,Active Member,9633.01,Retain
2,652,France,Male,51,5,0.0,2,non credit card holder,Active Member,43496.36,Retain
3,641,Spain,Male,32,5,0.0,2,credit card holder,Active Member,24267.28,Retain
3,692,Germany,Female,41,7,130701.29,1,credit card holder,Inactive Member,59354.24,Exit
2,574,Spain,Male,34,6,0.0,2,non credit card holder,Inactive Member,28269.86,Retain
2,643,France,Female,31,6,167949.48,1,credit card holder,Inactive Member,143162.34,Retain
1,834,France,Male,23,4,131254.81,1,credit card holder,Inactive Member,20199.3,Retain
